2017/1/13	CD	X	O
The	DT	010010	O
“	NNP	X	O
EyePyramid	NNP	X	O
”	NNP	X	O
Attacks	NNP	01011110	O
-	:	01111011110	O
Securelist	NN	X	O
The	DT	010010	O
“	NNP	X	O
EyePyramid	NNP	X	O
”	NN	X	O
attacks	NNS	101110000	O
A	DT	0100111	O
homebrew	JJ	X	O
cyberespionage	NN	1010110100	O
operation	NN	101110111110	O
that	WDT	00001111	O
took	VBD	001001111	O
Italy	NNP	X	O
by	IN	000111110	O
storm	NN	X	O
By	IN	01011101	O
GReAT	NNP	X	O
on	IN	0001111110	O
January	NNP	001111010	O
12	CD	001111100110	O
,	,	00000	O
2017	CD	X	O
.	.	0110	O

2:54	CD	X	O
pm	NN	X	O
INCIDENTS	NNS	X	O
CYBERCRIME	NNP	X	O
MALWARE	NNP	X	O
DESCRIPTIONS	NNP	X	O
SPEARPHISHING	NNP	X	O
GReAT	JJ	X	O
Kaspersky	NNP	0011111110110	O
Lab	NNP	011101011	O
's	POS	00001000	O
Global	NNP	0111000	O
Research	NNP	0111000	O
&	CC	01110010	O
Analysis	NNP	010000	O
Team	NN	0111000	O
@	NN	011101110	O
e_kaspersky/great	NN	X	O
On	IN	01011101	O
January	NNP	001111010	O
10	CD	001111100110	O
,	,	00000	O
2017	CD	X	O
,	,	00000	O
a	DT	11110	O
court	NN	X	O
order	NN	001111011	O
was	VBD	00100010	O
declassified	VBN	X	O
by	IN	000111110	O
the	DT	111110	O
Italian	JJ	X	O
police	NN	1011101010	O
,	,	00000	O
in	IN	0001110	O
regards	NNS	X	O
to	TO	000110	O
a	DT	11110	O
chain	NN	101101011	O
of	IN	00010	O
cyberattacks	NNS	101110000	O
directed	VBN	0011011101111	O
at	IN	000111111110	O
top	JJ	1010111100	O
Italian	JJ	X	O
government	NN	110110010	O
members	NNS	101111001	O
and	CC	00001101	O
institutions	NNS	101110010	O
.	.	0110	O

The	DT	010010	B-Entity
attacks	NNS	101110000	I-Entity
leveraged	VBD	0011011100	B-Verb
a	DT	11110	B-Entity
malware	NN	10100010	I-Entity
named	VBN	0011010110	I-Entity
“	NNP	X	I-Entity
EyePyramid	NNP	X	I-Entity
”	NNP	X	I-Entity
to	TO	000110	I-Entity
target	VB	101010110	I-Entity
a	DT	11110	I-Entity
dozen	NN	X	I-Entity
politicians	NNS	X	I-Entity
,	,	00000	I-Entity
bankers	NNS	X	I-Entity
,	,	00000	I-Entity
prominent	NN	1100110110	I-Entity
freemasons	NNS	X	I-Entity
and	CC	00001101	I-Entity
law	NN	110110010	I-Entity
enforcement	NN	101110010	I-Entity
personalities	NNS	X	I-Entity
in	IN	0001110	I-Entity
Italy	NNP	X	I-Entity
.	.	0110	O

These	DT	0100010	B-Entity
included	VBD	00110110110	I-Entity
Fabrizio	NNP	X	I-Entity
Saccomanni	NNP	X	I-Entity
,	,	00000	I-Entity
the	DT	111110	I-Entity
former	JJ	1100001	I-Entity
deputy	JJ	X	I-Entity
governor	NN	X	I-Entity
of	IN	00010	I-Entity
the	DT	111110	I-Entity
Bank	NNP	000010111	I-Entity
of	IN	00010	I-Entity
Italy	NNP	X	I-Entity
,	,	00000	I-Entity
Piero	NNP	X	I-Entity
Fassino	NNP	X	I-Entity
,	,	00000	I-Entity
the	DT	111110	I-Entity
former	JJ	1100001	I-Entity
mayor	NN	X	I-Entity
of	IN	00010	I-Entity
Turin	NNP	X	I-Entity
,	,	00000	O
several	JJ	11101100	O
members	NNS	101111001	O
of	IN	00010	O
a	DT	11110	O
Masonic	NNP	X	O
lodge	NN	X	O
,	,	00000	O
Matteo	NNP	X	O
Renzi	NNP	X	O
,	,	00000	O
former	JJ	1100001	O
prime	JJ	1100110101	O
minister	NN	X	O
of	IN	00010	O
Italy	NNP	X	O
and	CC	00001101	O
Mario	NNP	X	O
Draghi	NNP	X	O
,	,	00000	O
another	DT	111010010	B-Entity
former	JJ	1100001	I-Entity
prime	JJ	1100110101	I-Entity
minister	NN	X	I-Entity
of	IN	00010	I-Entity
Italy	NNP	X	I-Entity
and	CC	00001101	I-Entity
now	RB	001011111111	I-Entity
president	NN	101010111	I-Entity
of	IN	00010	I-Entity
the	DT	111110	I-Entity
European	JJ	1101110111	I-Entity
Central	NNP	00111111100	I-Entity
Bank	NNP	000010111	I-Entity
.	.	0110	O

The	DT	010010	O
malware	NN	10100010	O
was	VBD	00100010	O
spread	VBN	00111001110	O
using	VBG	0001111111000	O
spear­phishing	VBG	X	O
emails	NNS	101100111	O
and	CC	00001101	O
the	DT	111110	O
level	NN	1000110	O
of	IN	00010	O
sophistication	NN	1010110011	O
is	VBZ	00100011	O
low	JJ	110011110	O
.	.	0110	O

However	RB	010110	O
,	,	00000	O
the	DT	111110	O
malware	NN	10100010	O
is	VBZ	00100011	O
flexible	JJ	1100111011	O
enough	RB	10011011	O
to	TO	000110	O
grant	VB	00111001110	O
access	NN	10011011	O
to	TO	000110	O
all	PDT	111010110	O
the	DT	111110	O
resources	NNS	1011100010	O
in	IN	0001110	O
the	DT	111110	O
victim	NN	101010111	O
’	NNP	X	O
s	NN	011101011	O
computer	NN	101010000	O
.	.	0110	O

During	IN	01011101	O
the	DT	111110	O
investigation	NN	1010110010	O
,	,	00000	O
involved	VBN	00110110110	O
LEAs	NNP	X	O
found	VBD	0011011000	O
more	JJR	1110010	O
than	IN	001111111100	O
100	CD	11101100	O
active	JJ	1100111010	O
victims	NNS	10111001110	O
in	IN	0001110	O
the	DT	111110	O
server	NN	10110001	O
used	VBN	0011011100	O
to	TO	000110	O
host	VB	101101111010	O
the	DT	111110	O
malware	NN	10100010	O
,	,	00000	O
as	RB	00001110	O
well	RB	001111111111	O
as	IN	00001110	O
indications	NNS	10010011	O
that	IN	00001111	O
during	IN	00011111110110	O
the	DT	111110	O
last	JJ	11000100	O
few	JJ	110011001	O
years	NNS	101111010	O
the	DT	111110	O
attackers	NNS	10100000	O
had	VBD	001001111	O
targeted	VBN	110011100	O
around	IN	00011111111110	O
16,000	CD	X	O
victims	NNS	10111001110	O
.	.	0110	O

All	DT	010000	O
identified	VBN	00110110010	O
victims	NNS	10111001110	O
are	VBP	00100001	O
in	IN	0001110	O
Italy	NNP	X	O
,	,	00000	O
most	JJS	1110011	O
of	IN	00010	O
them	PRP	10011110	O
being	VBG	001011111100	O
Law	JJ	X	O
Firms	NNS	X	O
,	,	00000	O
Consultancy	NNP	X	B-Entity
services	NNS	10111110110	I-Entity
,	,	00000	I-Entity
Universities	NNS	X	I-Entity
and	CC	00001101	I-Entity
even	RB	001011111010	I-Entity
Vatican	NNP	X	I-Entity
Cardinals	NNP	X	I-Entity
.	.	0110	O

Evidence	NN	X	O
found	VBD	0011011000	O
on	IN	0001111110	O
the	DT	111110	O
C	NNP	01110011	O
&	CC	01110010	O
C	NNP	01110011	O
servers	NNS	10110000	O
